Age,Attrition,Department,MonthlyIncome,PerformanceRating,YearsAtCompany
41,Yes,Sales,5993,3,6
,No,Research & Development,5130,4,
37,Yes,Research & Development,2090,3,0
33,No,Research & Development,2909,3,8
27,No,Research & Development,3468,3,2
32,No,Research & Development,3068,3,7
59,No,Research & Development,2670,4,1
30,No,Research & Development,2693,4,1
38,No,Research & Development,9526,4,9
36,No,Research & Development,5237,3,7
35,No,Research & Development,2426,3,5
29,No,Research & Development,4193,3,9
,No,Research & Development,2911,3,5
34,No,Research & Development,2661,3,2
28,Yes,Research & Development,2028,3,4
29,No,Research & Development,9980,3,10
32,No,Research & Development,3298,3,6
22,No,Research & Development,2935,3,1
53,No,Sales,15427,3,25
38,No,Research & Development,3944,3,3
24,No,Research & Development,4011,3,4
36,Yes,Sales,3407,4,5
34,No,Research & Development,11994,3,12
21,No,Research & Development,1232,3,0
34,Yes,Research & Development,2960,3,4
53,No,Research & Development,19094,3,14
32,Yes,Research & Development,3919,4,10
42,No,Sales,6825,3,9
44,No,Research & Development,10248,3,22
46,No,Sales,18947,3,2
33,No,Research & Development,2496,3,1
44,No,Research & Development,6465,3,4
30,No,,2206,3,10
39,Yes,Sales,2086,3,1
24,Yes,Research & Development,2293,3,2
43,No,Research & Development,2645,3,5
50,Yes,Sales,2683,3,3
35,No,Sales,2014,3,2
36,No,Research & Development,3419,3,1
33,No,Sales,5376,3,5
35,No,Research & Development,1951,3,1
27,No,Research & Development,2341,3,1
26,Yes,Research & Development,2293,3,1
27,No,Sales,8726,3,9
30,No,Research & Development,4011,4,12
41,Yes,Research & Development,19545,3,22
34,No,Sales,4568,4,9
37,No,Research & Development,3022,4,1
46,No,Sales,5772,4,9
35,No,Research & Development,2269,3,1
48,Yes,Research & Development,5381,3,1
28,Yes,Research & Development,3441,3,2
44,No,Sales,5454,4,4
35,No,Research & Development,9884,3,4
26,No,Sales,4157,3,2
33,No,Research & Development,13458,3,15
35,No,Sales,9069,4,9
35,No,Research & Development,4014,3,2
31,No,Research & Development,5915,4,7
37,No,Research & Development,5993,3,7
32,No,Research & Development,6162,4,9
38,No,Research & Development,2406,3,10
50,No,Research & Development,18740,3,27
59,No,Sales,7637,3,21
36,No,Research & Development,10096,3,17
55,No,Research & Development,14756,3,5
36,No,Research & Development,6499,3,6
45,No,Research & Development,9724,3,1
35,No,Research & Development,2194,3,3
36,Yes,Research & Development,3388,3,1
59,No,Sales,5473,3,4
29,No,Research & Development,2703,4,5
31,No,Research & Development,2501,3,1
32,No,Research & Development,6220,3,10
36,No,Research & Development,3038,3,1
31,No,Research & Development,4424,4,11
35,No,Sales,4312,3,15
45,No,Research & Development,13245,3,0
37,No,Research & Development,13664,3,5
46,No,Human Resources,5021,4,4
30,No,Research & Development,5126,3,10
35,No,Research & Development,2859,3,6
55,No,Sales,10239,3,1
38,No,Research & Development,5329,3,13
34,No,Research & Development,4325,3,5
35,No,Research & Development,2426,3,5
56,No,Research & Development,7260,3,6
23,No,Sales,2322,3,0
51,No,Research & Development,2075,4,4
30,No,Research & Development,4152,3,11
46,Yes,Sales,9619,3,9
40,No,Research & Development,13503,4,22
51,No,Sales,5441,4,10
35,No,Research & Development,2426,3,5
30,No,Sales,5209,3,11
46,No,Research & Development,10673,3,10
32,No,Sales,5010,3,11
54,No,Research & Development,13549,3,4
24,No,Sales,4999,4,3
28,No,Sales,4221,3,5
58,No,Sales,13872,3,37
44,No,Research & Development,2042,3,3
37,Yes,Human Resources,2073,4,3
,No,Research & Development,2956,3,1
20,Yes,Research & Development,2926,3,1
34,No,Research & Development,4809,3,16
37,No,Research & Development,5163,3,1
59,No,Human Resources,18844,4,3
50,No,Research & Development,18172,3,8
25,Yes,Sales,5744,3,6
25,No,Research & Development,2889,3,2
22,No,Research & Development,2871,3,0
51,No,Research & Development,7484,4,13
34,Yes,Research & Development,6074,4,9
54,No,Human Resources,17328,3,5
24,No,Research & Development,2774,3,5
34,No,Research & Development,4505,3,1
37,No,Sales,7428,3,5
34,No,Research & Development,11631,3,11
36,No,Sales,9738,3,9
36,No,Research & Development,2835,4,1
43,No,Sales,16959,3,25
30,No,Research & Development,2613,4,10
33,No,Sales,6146,3,7
56,Yes,Research & Development,4963,3,5
51,No,Research & Development,19537,3,20
31,Yes,Sales,6172,3,7
26,No,Research & Development,2368,3,5
58,Yes,Research & Development,10312,3,40
19,Yes,Sales,1675,3,0
22,No,Research & Development,2523,3,2
49,No,Research & Development,6567,3,15
43,No,Research & Development,4739,3,3
50,No,Sales,9208,3,2
31,Yes,Sales,4559,3,2
41,No,Sales,8189,3,9
26,No,Human Resources,2942,4,8
36,No,Research & Development,4941,4,3
51,Yes,Research & Development,10650,3,4
39,No,Sales,5902,3,15
25,No,Sales,8639,3,2
30,No,Human Resources,6347,3,11
32,Yes,Research & Development,4200,4,5
45,No,Research & Development,3452,3,6
38,No,Research & Development,4317,4,3
30,No,Research & Development,2632,3,5
32,No,Sales,4668,3,8
30,No,Research & Development,3204,3,3
30,No,Research & Development,2720,3,5
41,No,Research & Development,17181,3,7
41,No,Research & Development,2238,4,5
19,No,Research & Development,1483,3,1
40,No,Research & Development,5605,3,20
35,No,Sales,7295,3,10
53,No,Sales,2306,4,7
45,No,Research & Development,2348,3,17
32,No,Sales,8998,3,9
29,No,Research & Development,4319,3,10
51,No,Research & Development,6132,3,1
58,No,Research & Development,3346,4,1
40,No,Sales,10855,3,12
34,No,Sales,2231,3,4
22,No,Research & Development,2323,4,2
27,No,Research & Development,2024,3,2
28,No,Research & Development,2713,3,5
57,No,Research & Development,9439,3,5
27,No,Research & Development,2566,3,1
50,No,Research & Development,19926,3,5
41,No,Research & Development,2451,3,9
30,No,Sales,9419,3,10
38,No,Sales,8686,4,8
32,No,Research & Development,3038,4,5
27,No,Research & Development,3058,3,5
19,Yes,Sales,2325,4,0
36,No,Research & Development,2088,3,8
30,No,Research & Development,3072,3,12
45,No,Sales,5006,3,5
56,No,Research & Development,4257,3,2
33,No,Research & Development,2500,3,3
19,Yes,Research & Development,1102,4,1
46,No,Sales,10453,4,24
38,No,Research & Development,2288,3,2
31,No,Research & Development,3929,4,4
34,No,Research & Development,2311,3,3
41,Yes,Sales,3140,4,4
50,No,Research & Development,3690,3,3
53,No,Research & Development,4450,3,4
33,No,Research & Development,2756,3,8
40,No,Research & Development,19033,3,20
55,No,Research & Development,18722,3,24
34,No,Research & Development,9547,3,10
51,No,Research & Development,13734,3,7
52,No,Research & Development,19999,3,33
27,No,Research & Development,2279,3,7
35,Yes,Research & Development,5916,3,1
43,No,Research & Development,2089,3,5
45,No,Research & Development,16792,4,20
37,No,Research & Development,3564,3,8
35,No,Research & Development,4425,3,6
42,No,Research & Development,5265,3,5
38,No,Research & Development,6553,3,1
38,No,Research & Development,6261,3,7
27,No,Research & Development,4298,3,2
49,No,Research & Development,6804,3,7
34,No,Research & Development,3815,3,5
40,No,Research & Development,2741,3,7
38,Yes,Research & Development,6673,3,1
29,Yes,Sales,7639,4,10
22,No,Research & Development,2328,3,4
36,No,Research & Development,2153,3,8
40,No,Research & Development,4876,3,3
46,No,Research & Development,9396,3,4
32,Yes,Sales,10400,3,14
30,No,Research & Development,8474,4,11
27,No,Sales,9981,3,7
51,No,Research & Development,12490,3,10
30,Yes,Research & Development,2657,3,5
41,No,Sales,13591,3,1
30,Yes,Sales,6696,3,6
29,Yes,Research & Development,2058,3,6
45,No,Sales,8865,3,19
54,No,Sales,5940,3,6
36,No,Research & Development,5914,3,13
33,No,Research & Development,2622,4,3
37,No,Research & Development,12185,3,10
38,No,Sales,10609,3,16
31,No,Research & Development,4345,3,5
59,No,Research & Development,2177,3,1
37,No,Sales,2793,3,9
29,No,Sales,7918,3,11
35,No,Sales,8789,3,10
29,Yes,Research & Development,2389,3,4
52,No,Research & Development,3212,3,2
42,No,Research & Development,19232,3,22
59,No,Human Resources,2267,3,2
50,No,Sales,19517,3,7
33,Yes,Research & Development,2436,3,5
43,No,Sales,16064,4,17
33,Yes,Research & Development,2707,4,9
52,No,Sales,19068,3,33
45,No,Sales,5006,3,5
32,No,Sales,3931,3,4
32,Yes,Research & Development,3730,3,3
39,No,Research & Development,2232,3,3
32,No,Sales,4465,3,3
41,No,Research & Development,3072,3,1
40,No,Research & Development,3319,3,9
45,No,Research & Development,19202,3,24
31,No,Research & Development,13675,3,2
33,No,Research & Development,2911,3,2
34,No,Research & Development,5957,3,11
37,No,Research & Development,3920,3,3
45,No,Research & Development,6434,3,3
37,Yes,Research & Development,10048,3,1
39,No,Research & Development,10938,4,19
29,No,Research & Development,2340,3,6
42,No,Research & Development,6545,3,3
29,No,Sales,6931,3,3
25,No,Research & Development,4898,3,4
42,No,Research & Development,2593,3,9
40,No,Research & Development,19436,3,21
51,No,Research & Development,2723,3,1
31,Yes,Research & Development,3479,3,5
32,No,Research & Development,2794,4,5
38,No,Sales,5249,3,8
32,No,Research & Development,2176,3,6
46,No,Sales,16872,3,7
28,Yes,Research & Development,3485,3,0
29,No,Sales,6644,3,0
31,No,Research & Development,5582,4,9
25,No,Research & Development,4000,3,6
45,No,Research & Development,13496,3,20
36,No,Research & Development,3210,3,15
55,No,Research & Development,19045,3,36
47,Yes,Research & Development,11849,3,10
28,No,Research & Development,2070,4,5
37,No,Sales,6502,3,5
21,No,Research & Development,3230,3,3
37,No,Research & Development,13603,3,5
35,No,Research & Development,11996,3,7
38,No,Sales,5605,4,8
26,No,Research & Development,6397,4,6
50,No,Research & Development,19144,3,10
53,No,Research & Development,17584,3,5
42,No,Sales,4907,4,20
29,No,Sales,4554,3,10
55,No,Research & Development,5415,3,10
26,No,Research & Development,4741,3,5
37,No,Research & Development,2115,3,17
44,Yes,Research & Development,3161,4,1
38,No,Research & Development,5745,3,2
26,Yes,Research & Development,2373,3,3
28,No,Research & Development,3310,4,5
49,No,Research & Development,18665,3,3
36,No,Research & Development,4485,3,8
31,No,Sales,2789,3,2
26,Yes,Sales,5828,3,8
37,No,Research & Development,2326,3,4
42,No,Sales,13525,3,20
18,Yes,Research & Development,1420,3,0
35,No,Sales,8020,3,11
36,No,Research & Development,3688,3,1
